month_start,year,month,year_month,state,fatalities
1990-07-01,1990,7,1990-07,ACT,6
1990-07-01,1990,7,1990-07,NSW,83
1990-07-01,1990,7,1990-07,NT,8
1990-07-01,1990,7,1990-07,QLD,31
1990-07-01,1990,7,1990-07,SA,21
1990-07-01,1990,7,1990-07,TAS,1
1990-07-01,1990,7,1990-07,VIC,41
1990-07-01,1990,7,1990-07,WA,14
1990-08-01,1990,8,1990-08,ACT,3
1990-08-01,1990,8,1990-08,NSW,66
1990-08-01,1990,8,1990-08,NT,10
1990-08-01,1990,8,1990-08,QLD,39
1990-08-01,1990,8,1990-08,SA,23
1990-08-01,1990,8,1990-08,TAS,4
1990-08-01,1990,8,1990-08,VIC,34
1990-08-01,1990,8,1990-08,WA,10
1990-09-01,1990,9,1990-09,ACT,1
1990-09-01,1990,9,1990-09,NSW,80
1990-09-01,1990,9,1990-09,NT,3
1990-09-01,1990,9,1990-09,QLD,49
1990-09-01,1990,9,1990-09,SA,28
1990-09-01,1990,9,1990-09,TAS,8
1990-09-01,1990,9,1990-09,VIC,48
1990-09-01,1990,9,1990-09,WA,16
1990-10-01,1990,10,1990-10,ACT,3
1990-10-01,1990,10,1990-10,NSW,62
1990-10-01,1990,10,1990-10,NT,1
1990-10-01,1990,10,1990-10,QLD,33
1990-10-01,1990,10,1990-10,SA,16
1990-10-01,1990,10,1990-10,TAS,6
1990-10-01,1990,10,1990-10,VIC,35
1990-10-01,1990,10,1990-10,WA,11
1990-11-01,1990,11,1990-11,ACT,3
1990-11-01,1990,11,1990-11,NSW,55
1990-11-01,1990,11,1990-11,NT,5
1990-11-01,1990,11,1990-11,QLD,28
1990-11-01,1990,11,1990-11,SA,17
1990-11-01,1990,11,1990-11,TAS,7
1990-11-01,1990,11,1990-11,VIC,40
1990-11-01,1990,11,1990-11,WA,16
1990-12-01,1990,12,1990-12,ACT,4
1990-12-01,1990,12,1990-12,NSW,74
1990-12-01,1990,12,1990-12,NT,9
1990-12-01,1990,12,1990-12,QLD,38
1990-12-01,1990,12,1990-12,SA,20
1990-12-01,1990,12,1990-12,TAS,8
1990-12-01,1990,12,1990-12,VIC,44
1990-12-01,1990,12,1990-12,WA,26
1991-01-01,1991,1,1991-01,ACT,2
1991-01-01,1991,1,1991-01,NSW,61
1991-01-01,1991,1,1991-01,NT,2
1991-01-01,1991,1,1991-01,QLD,21
1991-01-01,1991,1,1991-01,SA,10
1991-01-01,1991,1,1991-01,TAS,4
1991-01-01,1991,1,1991-01,VIC,45
1991-01-01,1991,1,1991-01,WA,26
1991-02-01,1991,2,1991-02,ACT,1
1991-02-01,1991,2,1991-02,NSW,47
1991-02-01,1991,2,1991-02,NT,6
1991-02-01,1991,2,1991-02,QLD,23
